email,first_name,last_name
john.doe@example.com,Jane,Doe
jim.smith@company.com,John,Smith
alice.johnson@gmail.com,Alice,Johnson
bob.williams@yahoo.com,Bob,Williams
charlie.brown@outlook.com,Charlie,Brown
david.white@icloud.com,David,White
emily.green@protonmail.com,Emily,Green
frank.black@yandex.com,Frank,Black
george.gray@tutanota.com,George,Gray
hannah.pink@startmail.com,Hannah,Pink
isaac.blue@keepsafe.com,Isaac,Blue
jack.orange@zoho.com,Jack,Orange
kate.yellow@sendinc.com,Kate,Yellow
lucy.red@posteo.com,Lucy,Red
mike.green@autonomy.com,Mike,Green
natalie.blue@neomailbox.com,Natalie,Blue
oliver.purple@sigma.com,Oliver,Purple
peter.indigo@proton.me,Peter,Indigo
